created_at,field1,field2,field3,field4
2021-12-06T23:26:21+00:00,1564,341,375,266
2021-12-06T23:26:44+00:00,1559,338,380,290
2021-12-06T23:27:06+00:00,1558,340,377,290
2021-12-06T23:27:29+00:00,1557,355,396,291
2021-12-06T23:27:51+00:00,1557,340,389,255
2021-12-06T23:28:13+00:00,1557,340,373,250
2021-12-06T23:28:36+00:00,1557,344,370,301
2021-12-06T23:28:59+00:00,1555,345,368,304
2021-12-06T23:29:21+00:00,1555,341,395,302
2021-12-06T23:29:43+00:00,1557,344,392,252
2021-12-06T23:30:06+00:00,1554,355,358,293
2021-12-06T23:30:28+00:00,1555,343,384,249
2021-12-06T23:30:51+00:00,1554,346,385,276
2021-12-06T23:31:13+00:00,1554,344,384,293
2021-12-06T23:31:35+00:00,1557,342,380,248
2021-12-06T23:31:58+00:00,1558,346,365,272
2021-12-06T23:32:20+00:00,1555,344,401,255
2021-12-06T23:32:43+00:00,1556,345,384,294
2021-12-06T23:33:05+00:00,1553,346,359,302
2021-12-06T23:33:27+00:00,1557,350,381,279
2021-12-06T23:33:50+00:00,1560,351,397,261
2021-12-06T23:34:12+00:00,1557,346,393,287
2021-12-06T23:34:34+00:00,1555,346,359,304
2021-12-06T23:34:57+00:00,1555,355,388,299
2021-12-06T23:35:20+00:00,1555,347,382,294
2021-12-06T23:35:42+00:00,1556,353,360,273
2021-12-06T23:36:04+00:00,1553,361,400,308
2021-12-06T23:36:27+00:00,1555,348,366,296
2021-12-06T23:36:49+00:00,1557,361,392,306
2021-12-06T23:37:12+00:00,1555,348,399,306
2021-12-06T23:37:34+00:00,1557,349,398,303
2021-12-06T23:37:56+00:00,1556,348,400,307
2021-12-06T23:38:19+00:00,1557,347,386,296
2021-12-06T23:38:41+00:00,1558,349,386,296
2021-12-06T23:39:04+00:00,1559,357,399,308
2021-12-06T23:39:26+00:00,1555,349,392,295
2021-12-06T23:39:49+00:00,1556,363,387,295
2021-12-06T23:40:11+00:00,1550,349,387,296
2021-12-06T23:40:34+00:00,1555,353,399,300
2021-12-06T23:40:56+00:00,1555,349,388,296
2021-12-06T23:41:18+00:00,1557,350,387,296
2021-12-06T23:41:41+00:00,1557,357,386,296
2021-12-06T23:42:03+00:00,1556,344,384,294
2021-12-06T23:42:26+00:00,1554,350,387,296
2021-12-06T23:42:48+00:00,1556,350,386,296
2021-12-06T23:43:11+00:00,1553,350,396,303
2021-12-06T23:43:33+00:00,1557,351,388,296
2021-12-06T23:43:55+00:00,1557,367,401,310
2021-12-06T23:44:18+00:00,1555,351,388,307
2021-12-06T23:44:41+00:00,1549,351,388,303
2021-12-06T23:45:03+00:00,1555,360,388,307
2021-12-06T23:45:25+00:00,1557,351,389,310
2021-12-06T23:45:48+00:00,1555,366,392,297
2021-12-06T23:46:10+00:00,1554,351,397,297
2021-12-06T23:46:33+00:00,1555,351,397,297
2021-12-06T23:46:55+00:00,1558,359,387,304
2021-12-06T23:47:17+00:00,1556,350,388,297
2021-12-06T23:47:40+00:00,1559,351,389,314
2021-12-06T23:48:02+00:00,1557,351,401,307
2021-12-06T23:48:25+00:00,1556,352,390,297
2021-12-06T23:48:47+00:00,1557,358,408,308
2021-12-06T23:49:10+00:00,1555,354,390,297
2021-12-06T23:49:32+00:00,1557,364,405,298
2021-12-06T23:49:55+00:00,1558,353,392,308
2021-12-06T23:50:17+00:00,1552,353,408,307
2021-12-06T23:50:39+00:00,1558,352,391,298
2021-12-06T23:51:02+00:00,1559,353,390,297
2021-12-06T23:51:24+00:00,1557,347,386,301
2021-12-06T23:51:47+00:00,1563,410,474,368
2021-12-06T23:52:09+00:00,1559,419,484,372
2021-12-06T23:52:32+00:00,1558,421,486,383
2021-12-06T23:52:54+00:00,1559,421,486,375
2021-12-06T23:53:16+00:00,1558,422,490,376
2021-12-06T23:53:39+00:00,1560,423,489,377
2021-12-06T23:54:01+00:00,1558,425,490,377
2021-12-06T23:54:24+00:00,1559,425,490,379
2021-12-06T23:54:46+00:00,1557,433,490,378
2021-12-06T23:55:08+00:00,1551,423,491,388
2021-12-06T23:55:31+00:00,1555,425,494,388
2021-12-06T23:55:53+00:00,1555,425,492,380
2021-12-06T23:56:16+00:00,1553,427,502,382
2021-12-06T23:56:38+00:00,1554,429,497,383
2021-12-06T23:57:01+00:00,1554,430,508,385
2021-12-06T23:57:23+00:00,1557,431,501,386
2021-12-06T23:57:46+00:00,1554,432,503,387
2021-12-06T23:58:08+00:00,1554,434,503,388
2021-12-06T23:58:30+00:00,1554,436,506,390
2021-12-06T23:58:53+00:00,1555,436,507,399
2021-12-06T23:59:15+00:00,1555,445,508,402
2021-12-06T23:59:38+00:00,1553,437,510,392
2021-12-07T00:00:00+00:00,1554,439,510,393
2021-12-07T00:00:23+00:00,1555,441,514,397
2021-12-07T00:00:45+00:00,1555,447,523,409
2021-12-07T00:01:08+00:00,1554,457,526,403
2021-12-07T00:01:31+00:00,1556,450,529,404
2021-12-07T00:01:53+00:00,1552,450,542,406
2021-12-07T00:02:15+00:00,1557,448,527,404
2021-12-07T00:02:38+00:00,1555,450,527,405
2021-12-07T00:03:00+00:00,1550,452,530,407
2021-12-07T00:03:23+00:00,1560,461,530,407
2021-12-07T00:03:46+00:00,1557,463,532,407
2021-12-07T00:04:08+00:00,1557,454,533,409
2021-12-07T00:04:31+00:00,1561,455,534,409
2021-12-07T00:04:53+00:00,1559,456,547,410
2021-12-07T00:05:16+00:00,1559,457,537,409
2021-12-07T00:05:38+00:00,1560,458,539,412
2021-12-07T00:06:01+00:00,1549,466,538,412
2021-12-07T00:06:23+00:00,1560,458,540,412
2021-12-07T00:06:46+00:00,1561,470,541,413
2021-12-07T00:07:09+00:00,1567,468,540,412
2021-12-07T00:07:32+00:00,1561,458,549,419
2021-12-07T00:07:55+00:00,1557,467,545,421
2021-12-07T00:08:18+00:00,1562,469,553,415
2021-12-07T00:08:41+00:00,1561,468,556,416
2021-12-07T00:09:04+00:00,1559,461,555,415
2021-12-07T00:09:26+00:00,1557,468,552,415
2021-12-07T00:09:49+00:00,1561,462,558,425
2021-12-07T00:10:12+00:00,1558,467,552,426
2021-12-07T00:10:34+00:00,1563,469,555,423
2021-12-07T00:10:57+00:00,1559,469,557,423
2021-12-07T00:11:19+00:00,1554,471,558,425
2021-12-07T00:11:41+00:00,1559,472,560,427
2021-12-07T00:12:04+00:00,1551,473,561,427
2021-12-07T00:12:26+00:00,1563,475,564,429
2021-12-07T00:12:49+00:00,1559,476,563,429
2021-12-07T00:13:12+00:00,1562,475,563,429
2021-12-07T00:13:34+00:00,1561,475,562,430
2021-12-07T00:13:57+00:00,1559,484,564,439
2021-12-07T00:14:19+00:00,1559,475,564,429
2021-12-07T00:14:42+00:00,1562,475,574,429
2021-12-07T00:15:04+00:00,1562,482,565,431
2021-12-07T00:15:27+00:00,1562,476,572,436
2021-12-07T00:15:50+00:00,1562,484,573,429
2021-12-07T00:16:12+00:00,1558,474,574,429
2021-12-07T00:16:35+00:00,1560,476,573,430
2021-12-07T00:16:58+00:00,1560,475,564,438
2021-12-07T00:17:21+00:00,1563,475,563,429
2021-12-07T00:17:44+00:00,1561,475,564,429
2021-12-07T00:18:08+00:00,1558,475,564,437
2021-12-07T00:18:30+00:00,1562,479,570,441
2021-12-07T00:18:53+00:00,1562,481,570,437
2021-12-07T00:19:16+00:00,1565,483,579,437
2021-12-07T00:19:39+00:00,1562,503,583,458
2021-12-07T00:20:01+00:00,1563,504,596,461
2021-12-07T00:20:24+00:00,1559,499,590,454
2021-12-07T00:20:47+00:00,1558,500,595,456
2021-12-07T00:21:10+00:00,1556,501,605,455
2021-12-07T00:21:33+00:00,1554,510,596,457
2021-12-07T00:21:56+00:00,1555,498,584,443
2021-12-07T00:22:20+00:00,1555,483,573,444
2021-12-07T00:22:43+00:00,1558,482,554,429
2021-12-07T00:23:06+00:00,1556,449,523,406
2021-12-07T00:23:29+00:00,1555,453,511,403
2021-12-07T00:23:52+00:00,1557,444,516,393
2021-12-07T00:24:15+00:00,1557,444,524,401
2021-12-07T00:24:38+00:00,1552,445,506,400
2021-12-07T00:25:02+00:00,1555,454,506,393
2021-12-07T00:25:25+00:00,1555,451,515,394
2021-12-07T00:25:48+00:00,1555,443,517,393
2021-12-07T00:26:11+00:00,1562,451,516,394
2021-12-07T00:26:34+00:00,1557,452,507,393
2021-12-07T00:26:57+00:00,1561,444,507,393
2021-12-07T00:27:20+00:00,1556,445,516,392
2021-12-07T00:27:43+00:00,1555,445,507,402
2021-12-07T00:28:06+00:00,1559,444,506,393
2021-12-07T00:28:29+00:00,1556,455,506,393
2021-12-07T00:28:52+00:00,1558,443,507,400
2021-12-07T00:29:17+00:00,1558,443,514,393
2021-12-07T00:29:40+00:00,1559,446,517,399
2021-12-07T00:30:03+00:00,1557,446,516,394
2021-12-07T00:30:27+00:00,1561,452,514,400
2021-12-07T00:30:50+00:00,1564,453,507,398
2021-12-07T00:31:14+00:00,1559,444,517,400
2021-12-07T00:31:38+00:00,1558,453,514,393
2021-12-07T00:32:02+00:00,1557,453,507,400
2021-12-07T00:32:26+00:00,1557,446,507,400
2021-12-07T00:32:51+00:00,1557,452,516,392
2021-12-07T00:33:15+00:00,1557,451,514,399
2021-12-07T00:33:38+00:00,1555,452,507,401
2021-12-07T00:34:04+00:00,1555,452,516,393
2021-12-07T00:34:28+00:00,1557,452,508,393
2021-12-07T00:34:52+00:00,1554,451,507,393
2021-12-07T00:35:15+00:00,1555,451,515,399
2021-12-07T00:35:38+00:00,1554,453,515,400
2021-12-07T00:36:02+00:00,1554,452,515,399
2021-12-07T00:36:25+00:00,1557,451,514,393
2021-12-07T00:36:50+00:00,1558,450,506,398
2021-12-07T00:37:14+00:00,1555,449,519,402
2021-12-07T00:37:38+00:00,1556,455,519,397
2021-12-07T00:38:03+00:00,1553,447,511,404
2021-12-07T00:38:27+00:00,1557,456,518,402
2021-12-07T00:38:50+00:00,1560,455,519,403
2021-12-07T00:39:13+00:00,1557,448,518,396
2021-12-07T00:39:36+00:00,1555,449,511,396
2021-12-07T00:39:59+00:00,1555,457,518,395
2021-12-07T00:40:22+00:00,1555,456,512,397
2021-12-07T00:40:45+00:00,1556,455,520,403
2021-12-07T00:41:08+00:00,1553,456,518,402
2021-12-07T00:41:32+00:00,1555,449,519,403
2021-12-07T00:41:55+00:00,1557,448,512,396
2021-12-07T00:42:18+00:00,1555,455,511,402
2021-12-07T00:42:40+00:00,1557,459,523,406
2021-12-07T00:43:03+00:00,1556,460,525,400
2021-12-07T00:43:26+00:00,1557,453,525,398
2021-12-07T00:43:49+00:00,1558,460,527,405
2021-12-07T00:44:12+00:00,1559,453,516,406
2021-12-07T00:44:35+00:00,1555,461,525,404
2021-12-07T00:44:58+00:00,1556,453,524,400
2021-12-07T00:45:21+00:00,1550,452,515,408
2021-12-07T00:45:44+00:00,1555,460,516,398
2021-12-07T00:46:07+00:00,1555,458,521,399
2021-12-07T00:46:30+00:00,1557,452,522,405
2021-12-07T00:46:54+00:00,1557,458,523,405
2021-12-07T00:47:17+00:00,1556,460,516,405
2021-12-07T00:47:39+00:00,1554,461,517,408
2021-12-07T00:48:02+00:00,1556,453,517,406
2021-12-07T00:48:24+00:00,1553,461,517,400
2021-12-07T00:48:47+00:00,1557,460,516,400
2021-12-07T00:49:10+00:00,1557,460,515,400
2021-12-07T00:49:32+00:00,1555,453,516,399
2021-12-07T00:49:55+00:00,1549,451,524,400
2021-12-07T00:50:18+00:00,1555,453,525,399
2021-12-07T00:50:40+00:00,1557,459,530,399
2021-12-07T00:51:03+00:00,1555,460,525,400
2021-12-07T00:51:25+00:00,1554,453,516,408
2021-12-07T00:51:48+00:00,1555,453,516,407
2021-12-07T00:52:10+00:00,1558,460,525,400
2021-12-07T00:52:33+00:00,1556,452,527,407
2021-12-07T00:52:56+00:00,1559,452,526,405
2021-12-07T00:53:19+00:00,1557,452,525,399
2021-12-07T00:53:42+00:00,1556,461,517,400
2021-12-07T00:54:04+00:00,1557,453,516,400
2021-12-07T00:54:27+00:00,1555,457,521,405
2021-12-07T00:54:50+00:00,1557,454,517,407
2021-12-07T00:55:12+00:00,1558,463,517,410
2021-12-07T00:55:35+00:00,1552,454,518,401
2021-12-07T00:55:58+00:00,1558,453,517,399
2021-12-07T00:56:21+00:00,1559,454,517,400
2021-12-07T00:56:44+00:00,1557,462,517,408
2021-12-07T00:57:06+00:00,1563,462,518,402
2021-12-07T00:57:29+00:00,1559,452,519,400
2021-12-07T00:57:53+00:00,1558,453,524,406
2021-12-07T00:58:16+00:00,1559,449,522,398
2021-12-07T00:58:39+00:00,1558,448,513,406
2021-12-07T00:59:02+00:00,1560,453,516,406
2021-12-07T00:59:25+00:00,1558,452,523,399
2021-12-07T00:59:48+00:00,1559,461,521,404
2021-12-07T01:00:11+00:00,1557,457,521,399
2021-12-07T01:00:33+00:00,1551,448,511,396
2021-12-07T01:00:56+00:00,1555,447,519,395
2021-12-07T01:01:19+00:00,1555,444,494,384
2021-12-07T01:01:43+00:00,1553,567,692,574
2021-12-07T01:02:05+00:00,1554,548,658,545
2021-12-07T01:02:29+00:00,1554,523,626,526
2021-12-07T01:02:52+00:00,1557,514,611,504
2021-12-07T01:03:15+00:00,1554,494,585,490
2021-12-07T01:03:38+00:00,1554,477,582,467
2021-12-07T01:04:01+00:00,1554,368,416,320
2021-12-07T01:04:24+00:00,1555,319,341,269
2021-12-07T01:04:47+00:00,1555,284,294,231
2021-12-07T01:05:10+00:00,1553,306,329,256
2021-12-07T01:05:33+00:00,1554,301,334,255
2021-12-07T01:05:57+00:00,1555,306,329,255
2021-12-07T01:06:20+00:00,1555,306,329,255
2021-12-07T01:06:44+00:00,1554,306,329,255
2021-12-07T01:07:07+00:00,1556,307,324,252
2021-12-07T01:07:30+00:00,1552,308,331,255
2021-12-07T01:07:53+00:00,1557,301,324,257
2021-12-07T01:08:16+00:00,1555,301,324,257
2021-12-07T01:08:40+00:00,1550,310,329,255
2021-12-07T01:09:02+00:00,1560,306,328,255
2021-12-07T01:09:26+00:00,1557,305,330,256
2021-12-07T01:09:49+00:00,1557,305,328,254
2021-12-07T01:10:13+00:00,1561,307,324,257
2021-12-07T01:10:36+00:00,1559,305,328,256
